"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Game/MSPresets/M_MS_Surface_Material/M_MS_Surface_Material.M_MS_Surface_Material","0","17","6","1","21.887337","0","109"
"/Game/Assets/Props/Urban/Skatepark/Blanco.Blanco","0","14","1","1","12.473687","0","87"
"/Game/Assets/Props/Punk/PlaneColor_white.PlaneColor_white","0","14","1","1","4.852727","0","100"
"/Game/Assets/Props/Punk/PlaneColor_red.PlaneColor_red","0","14","2","1","4.589322","0","64"
"/Game/Assets/Props/Punk/PlaneColor_blue.PlaneColor_blue","0","14","1","1","6.717250","0","59"
"/Game/MSPresets/M_MS_Glass_Material/M_MS_Glass_Material.M_MS_Glass_Material","0","31","1","1","240.669724","0","130"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","108","3","2","34.831387","0","697"
"/Game/Assets/Carton_front.Carton_front","0","14","1","1","4.592791","0","80"
"/Game/Assets/Carton_front_001.Carton_front_001","0","14","1","1","0.000000","0","80"
"/Game/Assets/Carton_lado.Carton_lado","0","14","1","1","4.681070","0","56"
"/Game/Assets/Carton_lado_001.Carton_lado_001","0","14","1","1","0.000000","0","56"
"/Game/VFX/TrailMat.TrailMat","0","10","1","1","2.921250","0","33"
"/Game/Assets/Props/Urban/Skatepark/NegroMate.NegroMate","0","14","1","1","6.165127","0","47"
"/Game/Assets/Props/Urban/Skatepark/Metal.Metal","0","14","1","1","7.796818","0","60"
"/Game/Assets/Props/Urban/Skatepark/Cobre.Cobre","0","14","1","1","4.645323","0","49"
"/Game/Assets/Enemigos/Carlos_ataque.Carlos_ataque","0","29","1","1","8.689249","0","123"
"/Game/Assets/Enemigos/walmart_ataque.walmart_ataque","0","29","1","1","0.000000","0","123"
"/Game/Assets/Enemigos/Walmart_Iddle.Walmart_Iddle","0","29","1","1","0.000000","0","123"
"/Game/Assets/Enemigos/Carlos_iddle.Carlos_iddle","0","29","1","1","0.000000","0","123"
"/Game/Assets/Idle_Mat.Idle_Mat","0","29","1","1","10.106461","0","151"
"/Game/Assets/Punch_Mat.Punch_Mat","0","29","1","1","0.000000","0","123"
